state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
New Jersey,,,Adopted,34,2015,8850415,4302551,321438,310270,696572,668973,398098,339251,565471,442886,564507,472294,636691,566821,560544,518073,4547864,311139,302592,664625,637345,382804,339143,567975,491500,591289,521979,676235,615111,609508,566749,1160042,87339,84395,192216,184874,125924,107240,160336,130000,158797,136363,170203,150571,137127,125297,5997750,382382,371391,864682,833812,490084,440732,706604,599416,718744,633319,920678,849349,875050,825111,116604,213139,59905,67436,60747,65426,58510,115144,195949,68834,103450,89262,85607,74342,2737655,30.9,1584720,17.9,1157150,13.1,908278,63.9,1813164,24.7
New Mexico,,,Adopted,35,2015,2050178,1007659,82613,80381,172278,162644,101470,79446,132906,99960,119135,93156,121984,102742,129027,114108,1042519,78765,76129,164759,156843,100316,84791,128770,109335,120671,100536,130895,115878,141049,128029,45137,3540,3540,8970,8855,6307,5269,3798,3095,6087,5859,5477,4971,6050,5294,1506779,111103,108464,227602,217686,136541,116046,184135,151797,173424,143819,185014,163179,216892,197857,50109,88409,30635,30845,25662,26839,24246,48718,90410,37659,46741,28791,31467,29547,955399,46.6,629623,30.7,505530,24.7,419294,70.7,532386,36.9
New York,,,Adopted,36,2015,19556452,9461823,722484,705408,1430381,1392553,951109,846723,1397857,1145568,1203806,1028022,1322694,1188668,1202026,1124584,10094629,684545,668931,1366968,1333843,962533,887413,1439175,1289565,1269341,1151243,1412994,1309802,1320161,1256592,3009818,245801,240485,477899,465443,328642,292350,441603,378070,379257,335546,419556,377579,357881,330925,12483149,781296,763700,1644507,1608533,1128002,1051147,1694111,1508436,1498828,1364700,1790915,1677966,1776800,1701325,334696,582887,232758,256914,210141,243865,226707,321237,561323,262030,372043,301614,296204,275717,7513017,38.4,4626655,23.7,3755630,19.2,3084595,72.8,4361338,29
North Carolina,,,Adopted,37,2015,9855612,4751881,368606,357924,799614,759545,484842,388181,594151,435917,615290,484500,651259,552733,593273,533570,5103731,357026,345576,757765,720648,466992,398550,657544,532667,669065,559112,697043,610239,669671,607262,2115132,169797,166622,367021,350357,238610,194885,276659,212691,273106,228655,287542,244343,261532,234200,6817890,438437,425678,982944,936600,602539,508142,832598,661541,866690,717258,970552,851690,938101,855415,178447,328168,55430,51452,47675,55131,59139,175629,307206,86501,104144,82905,67051,72267,3374561,34.2,1905085,19.3,1369998,13.9,1357772,56.5,1989367,27.1
North Dakota,,,Adopted,38,2015,740547,377039,30597,27845,56279,52852,45652,39922,60474,52999,45165,39616,44593,40252,47922,45266,363508,31142,29360,52976,47507,43962,39741,50575,46035,39784,36329,43135,39471,46818,44865,14434,1386,1386,2473,2473,3727,2466,3379,3046,936,675,1296,894,930,904,654234,51530,48761,91122,84968,77679,71189,94809,86489,74457,68330,78402,73467,88441,84671,6358,9205,2649,3708,2464,2747,2680,6075,7533,3446,5854,4548,3339,3023,178781,24.1,73283,9.9,46811,6.3,58157,50.4,119279,19.5
Ohio,,,Adopted,39,2015,11442029,5580642,423301,405441,919726,876977,538816,477384,719055,605431,676045,602386,761465,697568,762641,715061,5861387,401254,382668,882490,846704,533525,490540,738565,671432,702235,650000,795428,741561,817314,771660,1381819,123117,120706,256073,247429,155993,133149,186585,153496,169079,149266,173365,156280,164772,154847,9400896,612877,582823,1384575,1322209,834130,763464,1167360,1035799,1128501,1032462,1321737,1227016,1369601,1290702,184236,314379,85283,114597,97300,100797,91755,174899,307945,128507,205939,145642,128492,114377,4192224,36.6,2458529,21.5,1819004,15.9,1727760,70.8,2431090,27.5
Oklahoma,,,Adopted,40,2015,3830329,1879929,164412,155321,328393,299908,191491,143494,255475,182612,230227,182204,232106,188466,229253,199819,1950400,154241,146668,311372,285413,186640,149005,261588,202781,235879,187756,241546,201606,249735,217809,270168,23516,22395,48509,44618,34560,25600,39575,27936,34126,26049,33045,26128,31527,26964,2789689,205276,198647,404125,378929,248759,202948,371330,290895,337303,278132,363488,308839,383071,341282,77565,126973,15520,15281,16555,16210,18415,74744,121288,28339,34818,21724,19887,22305,1289866,33.7,722810,18.9,501378,13.1,496709,53.6,778416,27.2
Oregon,,,Adopted,41,2015,3991133,1964333,138996,134693,299411,289355,181347,155392,272084,229204,261525,227121,253126,232126,260239,242034,2026800,134624,129562,286377,274730,179030,160173,272649,245409,260086,237313,259491,238638,281557,267000,74028,5917,5917,12328,12217,8150,6992,12493,10913,11089,10563,10250,9370,8094,7616,3405420,219939,212844,468379,453109,287401,252012,453113,397793,436712,391633,441235,407367,489686,460917,64186,125300,35125,57070,48364,40653,42209,64978,119739,44448,76795,60708,52029,49867,1607368,40.3,929081,23.3,716409,18,609935,69.2,985598,32.1
Pennsylvania,,,Adopted,42,2015,12599417,6126922,439058,420558,933498,892973,602082,529842,798291,676301,721078,635401,857866,783816,859146,813995,6472495,417616,399219,895132,861190,595273,547137,814486,738517,752636,694963,895592,841882,916037,869771,1352143,115953,111935,240156,230861,163271,137933,189872,156572,163025,139668,177981,159896,153418,140169,10254565,620799,591512,1377355,1318714,905063,827136,1264025,1127411,1177255,1078778,1472142,1373937,1548704,1478352,178315,330014,87261,87671,80461,92143,96145,166238,314190,114688,166367,126872,124739,119870,4368374,34.7,2232525,17.7,1625297,12.9,1564331,65.9,2772236,27.7
Rhode Island,,,Adopted,44,2015,1041268,503911,34366,33346,73630,71180,55683,50388,69808,57326,60017,53701,70761,65440,68533,66171,537357,31584,30665,71817,68946,57624,53539,70821,65534,62374,58440,76840,73465,74589,71569,64201,6199,5858,10484,9533,8441,7901,11234,9249,7616,6307,7350,6836,7094,6552,836961,46340,45000,102096,100247,86158,80477,106540,94893,94890,89707,125899,119559,125846,121945,14598,26282,9507,12469,10815,11382,10873,11470,25609,11273,21079,13482,13366,16068,382744,36.8,214291,20.6,162598,15.6,144652,72,235848,29
South Carolina,,,Not Adopted,45,2015,4801301,2312006,179650,173420,379423,362958,229530,184654,296979,218855,278569,225040,306923,257711,295154,263791,2489295,168238,162486,359296,343563,232024,198506,312763,254765,308008,261492,335784,288946,342373,308836,1307536,106903,105109,233155,226173,145444,115783,173386,134663,159893,133610,167618,140938,164709,144168,3240661,207577,198937,445961,424940,284575,243477,400373,313581,393118,330458,447489,385849,456107,415189,89892,156719,26841,26326,24072,28117,31758,81747,150779,47180,60687,42069,36788,42865,1750490,36.5,972391,20.3,684746,14.3,681317,58.9,1054020,29.5
South Dakota,,,Adopted,46,2015,841363,420831,36160,33951,71580,65844,42732,34483,54106,43645,49236,40942,51894,44074,56203,50751,420532,34864,32831,65976,61918,41039,34983,54005,43174,47105,40978,51581,46719,56813,53393,12313,1379,1379,3233,3134,914,684,2886,1795,2672,2265,560,433,474,346,713276,54361,51811,104684,100705,67553,60298,88511,76660,80403,72746,91420,83553,105148,98595,13246,22881,4396,2568,3301,2073,3651,11892,21454,4152,5792,4371,3470,5171,254969,30.3,126872,15.1,81851,9.7,92227,54.4,159791,24.3
Tennessee,,,Not Adopted,47,2015,6496300,3140988,244268,235409,513745,489769,309950,250997,402853,303440,401439,326843,426815,360418,402358,364399,3355312,234265,226764,498671,476903,311317,266069,437333,374904,422968,366445,455121,396927,446913,405898,1081562,93342,89535,193719,187233,129241,101187,156417,123509,138310,116169,140789,118614,127127,110312,5058324,337358,326463,733902,702195,452893,385656,631018,516826,639591,544715,703800,610244,696597,639794,117641,200637,44502,45030,39804,41821,47739,111951,192522,64676,98082,67352,52220,57029,2334566,35.9,1358898,20.9,952056,14.7,954045,59.6,1361449,28.2
Texas,,,Not Adopted,48,2015,26990435,13258486,1202165,1118245,2464723,2204409,1366987,963112,1914849,1318594,1775848,1308379,1682019,1340073,1454280,1257110,13731949,1153894,1069910,2377071,2123166,1340458,987622,1944418,1422246,1856318,1412173,1757939,1431750,1564041,1342813,3183120,274872,261143,591556,551126,358377,268015,476468,349013,444529,354447,409787,342947,350845,309904,20271608,1719496,1592928,3525994,3139316,1968194,1410300,2824097,1998602,2651786,1973040,2601209,2099992,2363043,2045369,568507,931344,113313,103683,95417,105639,121622,545390,894882,171425,187770,136843,134720,159384,7823103,29,4945935,18.3,3685218,13.7,3215700,49.9,4554703,22.4
Utah,,,Adopted,49,2015,2971003,1487256,152795,144160,314399,290484,170500,143206,217985,182110,201012,170485,152356,132325,137509,123185,1483747,148159,140027,293932,269419,168298,146491,216402,182762,196832,167821,152114,134894,144708,132141,33446,3990,3959,7661,7264,5324,3936,6858,5910,3433,2725,2380,2224,2206,1768,2590611,251822,239688,518506,484799,285940,251245,373135,321761,346847,303272,267982,240161,259008,238611,37457,58259,9154,14547,10879,8437,8212,35332,52344,9517,21287,14157,10091,10743,631701,21.3,326336,11,223286,7.5,208227,40.7,420467,17.3
Vermont,,,Adopted,50,2015,620107,305087,18338,18196,43217,42626,34580,32083,35198,31498,34039,31166,43582,41008,47463,44949,315020,17658,17557,40615,40198,32266,30579,34849,32739,35468,34259,46460,44777,49951,48392,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,587482,33092,32849,76591,75785,62484,58771,65317,59646,66080,62239,85882,81791,93815,89752,9650,20102,5629,8937,8161,9160,8580,9465,17907,7265,11445,10204,9021,8965,261328,42.1,148590,24,116652,18.8,80572,78.6,178249,35.8
Virginia,,,Adopted,51,2015,8162517,3951780,313950,300323,640460,605896,382256,319189,537975,434078,511962,438412,550466,484889,499638,460759,4210737,302433,288957,610249,581230,390521,341180,572169,492393,545132,480411,594247,535624,548843,501592,1546872,127280,121450,256975,245963,165617,136468,213519,168959,194684,165109,219742,192588,192137,171317,5579033,376085,359578,784578,747541,496132,430996,735707,629602,697615,618429,801123,725417,771209,716735,98177,166508,23427,31675,25704,27035,26859,96543,159335,36107,64659,41636,40102,35946,2222400,27.2,1076273,13.2,710336,8.7,703551,52.4,1502939,22.4
Washington,,,Adopted,53,2015,7066812,3509886,274605,268005,548326,532948,332359,288538,510940,432771,455848,397694,470132,432469,449987,421548,3556926,260404,253127,527227,513963,316373,285326,505915,453783,454423,417649,469700,441497,474484,450441,252787,22806,22112,43208,42509,28799,24091,41080,35432,35743,32566,33996,32417,28614,26907,5437678,367493,357460,751839,731249,462361,418135,745751,659670,678976,617916,750798,702064,785205,745701,117743,206619,58376,76528,58020,61443,61148,110109,198673,70544,111831,76630,66147,72046,2483769,35.1,1405432,19.9,1089483,15.4,828175,65.7,1636647,28.5
West Virginia,,,Adopted,54,2015,1815505,890135,60755,59305,130200,125986,84042,74402,103284,85374,111796,99758,120846,109839,130158,122702,925370,61629,60290,125812,122032,78109,71807,108433,98658,113282,104657,122602,114037,136793,131199,64778,5961,5852,10148,9362,9053,7659,8005,6396,7808,7180,7512,6600,8855,8229,1701847,111354,108674,233862,226806,146581,132508,196125,170402,212492,193086,231344,213095,254061,241934,31949,58847,18440,25986,24896,24203,21958,31811,56325,21804,37774,33930,30763,29795,838090,46.2,488612,26.9,374594,20.6,361772,77.1,470054,35.5
Wisconsin,,,Not Adopted,55,2015,5698995,2820000,209698,202358,451989,434621,277400,246349,358583,309162,343671,311186,394087,366791,390440,370621,2878995,200385,192929,428278,414214,275690,253899,354392,325789,342416,318540,397892,376048,401356,384173,347278,36428,35031,74420,72685,43436,36151,49261,41307,42985,38872,40713,36468,34538,31502,4913362,314730,304170,699212,674347,456622,420811,590665,532959,582755,542221,710486,672388,731244,700537,81169,136216,30208,44233,41124,41118,41218,70933,139201,43029,74520,55041,47638,48389,1851129,32.5,963064,16.9,699416,12.3,654860,64.4,1179893,25.6
Wyoming,,,Not Adopted,56,2015,576557,288324,24580,22513,45819,42368,29310,23062,39045,30713,36809,31519,33785,28736,40693,35828,288233,22955,21179,45599,42037,27177,23026,40406,33273,34215,28770,35451,30472,40309,36407,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,528275,40386,37324,80848,74926,50097,41817,70781,58009,65856,56004,65554,56155,76670,68441,8261,11802,1957,2009,1825,946,1938,7250,9432,3979,3578,2396,1780,2831,152140,26.4,71100,12.3,45280,7.9,44857,46.9,106095,22.3
Puerto Rico,,,,72,2015,3447794,1638964,110430,108363,269191,261211,175498,160453,200300,169801,210075,184243,210215,189540,195148,179605,1808830,102267,100948,255310,246714,175452,166069,215124,201059,233349,219703,242585,227571,233757,221192,340088,16396,16357,48699,47176,32214,30224,40341,34376,44203,39346,49116,44190,48854,45638,2340806,150724,148202,351476,339117,227415,213377,278503,253757,294529,270114,294791,273920,291810,274016,77883,166464,85808,90248,85311,88174,80613,71698,151383,99620,121590,106403,109399,101930,2145567,62.2,1582297,45.9,1299132,37.7,1639830,80.9,502765,35.5
Alabama,,,Not Adopted,1,2016,4782529,2295925,175672,173042,388532,378318,223810,184907,293090,226453,278111,232785,304850,266103,301137,274530,2486604,173423,169190,360425,350770,231399,200301,316333,261852,305379,264031,331110,296307,336284,309379,1269831,103879,102605,222636,218108,144537,114066,178329,135789,158987,136987,159955,139168,160267,143924,3269825,213334,208808,468875,456938,285314,251193,395380,327863,392661,338288,448096,399993,460635,426336,87724,162148,23784,24649,23532,26611,36869,89600,158510,42049,51526,32937,41431,44175,1762407,36.9,951185,19.9,672633,14.1,692823,58.5,1057478,29.8
Alaska,,,Adopted,2,2016,718419,371645,31511,28686,67659,59654,37131,28705,56692,42514,43976,35481,48061,40595,49440,43185,346774,31184,29025,56485,50880,31003,25637,56830,44894,45163,38169,43186,37004,45702,39613,22186,1025,1025,4279,4218,2733,2266,4180,3278,3380,3008,2706,2466,2105,2026,461203,34072,31689,66168,62604,38120,32606,72204,60731,58560,51324,63618,56438,71567,65772,12958,20063,4642,6421,4944,3859,4675,11608,19364,5073,9520,6535,5131,4711,211252,29.4,118271,16.5,95825,13.3,63404,59.1,145208,24
Arizona,,,Adopted,4,2016,6824645,3355117,262402,246035,568818,523045,332690,274336,450139,356221,408471,342277,409417,350238,387681,351260,3469528,257533,243176,540287,497338,323011,278697,446145,388416,418708,365822,424814,376302,435089,398505,288061,26019,24747,53322,50546,35271,30370,46312,40092,37920,33287,35830,33336,27497,25931,5181587,348663,329476,763064,710046,448141,391327,643433,543193,603380,528289,646502,572202,687130,633228,116781,224336,62541,77347,68394,66051,61187,115688,212608,76418,116928,94879,80461,77591,2711028,39.7,1708667,25,1251913,18.3,1057453,65.8,1635105,31.7
Arkansas,,,Adopted,5,2016,2934272,1429927,118572,112921,243709,234742,146043,121352,178488,148576,173091,144699,180176,161874,179095,167971,1504345,106924,104159,235950,227790,138811,120262,192225,165995,182336,160424,192423,176486,194828,185811,449341,39221,38858,85847,84791,54664,47669,61916,53797,52584,46588,55556,51029,53889,51122,2253566,153674,148322,337873,326193,202550,173223,275574,237034,271810,238939,293931,268880,304890,288945,67561,123602,27982,28215,28196,28321,31687,63406,116749,34817,49320,37636,34952,39225,1268609,43.2,775885,26.4,586895,20,523997,68.4,731633,34.4
California,,,Adopted,6,2016,38763815,19113383,1522870,1486857,3109059,3007736,1904231,1683343,2926634,2479267,2528263,2172740,2547179,2284278,2240926,2080098,19650432,1459415,1427408,2988434,2889962,1852797,1690575,2857573,2578495,2565541,2306260,2602114,2378267,2406590,2257290,2186120,161762,157830,331998,324291,229940,210579,333456,297256,273580,252790,306302,288078,280698,265374,23136911,1622022,1587762,3387153,3281178,2071694,1876062,3272455,2891141,2903344,2562105,3126530,2856393,3048511,2868266,726069,1366668,508752,553754,436173,457808,437436,698558,1305865,568107,748062,587070,550309,528530,15076801,38.9,10142964,26.2,8236931,21.2,5767388,69.4,9204075,30.6
Colorado,,,Adopted,8,2016,5447760,2717755,205547,199609,442757,424810,260029,228506,414688,345908,368267,317918,354593,321524,337515,314740,2730005,195744,188313,414119,394786,252733,229679,398064,357968,361961,324894,357402,330923,356450,335808,222864,20487,20441,39886,38550,25091,23100,35135,31312,30775,27610,28377,27149,22683,21869,4580019,313506,302974,681627,651799,412338,372770,673966,588188,607086,542486,607900,561221,618645,581591,77224,153720,41939,59083,44151,45346,43258,74943,143881,56995,83160,56654,46584,50028,1786431,32.8,1105914,20.3,822887,15.1,577030,63.3,1195965,26.7
Connecticut,,,Adopted,9,2016,3525154,1712414,113714,110458,270501,263671,178392,166870,211608,187402,203979,184312,250878,234819,240822,228559,1812740,109091,105184,258153,251279,170707,160062,216111,198794,215199,199820,270082,257953,259656,250089,368742,26940,26492,63343,60935,45733,41973,53288,47800,47059,43795,51876,48794,42709,39588,2708598,147683,142538,373772,364958,249191,236020,302417,278072,302920,281524,415234,395636,423550,409226,44814,91284,32264,33128,32066,32813,29370,44761,87827,40187,54617,46138,40625,38711,1233744,35,734664,20.8,550907,15.6,374863,74.2,849705,28.7
Delaware,,,Adopted,10,2016,937935,450203,33424,32415,69669,67030,41259,36892,60788,51600,52615,46348,59196,55225,60864,57463,487732,31597,31027,69014,66989,41817,39915,64109,57927,55830,52273,65446,61492,69672,67179,204442,16026,15677,38313,36899,22011,20491,27219,24265,24729,23122,28514,25892,24746,23343,651055,38601,37666,85234,82367,52005,48193,81718,72600,73048,66593,88349,83519,99040,94829,14587,23666,7376,9984,7928,6492,7891,13802,24465,8492,15942,12527,8410,9755,348257,37.1,195948,20.9,145624,15.5,103256,67,242879,31.5
District of Columbia,,,Adopted,11,2016,670985,315799,26465,25990,33980,32309,33842,32319,71715,66806,47531,44123,38565,35528,32364,31560,355186,24879,24186,34989,34087,44161,42177,81215,78689,49810,48057,38166,36985,36509,35622,314308,24544,23818,42550,40691,34587,32656,48839,45769,37051,34455,40397,38376,41995,40773,273546,16330,16254,15996,15758,34242,33128,83286,82003,45455,44151,29186,28227,21418,21187,12403,17315,8358,11846,7583,6879,11109,10569,19051,10943,16790,12847,11454,12170,248883,37.1,161782,24.1,144353,21.5,109111,71.3,137202,27.9
Florida,,,Not Adopted,12,2016,20294479,9829594,687725,652588,1424355,1327873,866762,676876,1275897,926665,1171032,899190,1318556,1084694,1271953,1108300,10464885,651897,623712,1372368,1275425,850747,697987,1309989,1051816,1240360,1032301,1398345,1172660,1433747,1252472,3215738,274409,262097,576336,536824,359605,283058,486180,371318,410241,330245,404856,336034,358011,303325,15366996,882385,840304,1896909,1770312,1177053,956339,1840278,1418220,1760084,1410353,2104240,1755691,2185295,1925721,346286,581564,119633,115453,105745,128462,143056,333693,557415,139127,216343,177178,147722,172687,7628537,37.6,4369472,21.5,2709205,13.3,2603250,56.4,4988053,32.1
Georgia,,,Not Adopted,13,2016,10120788,4866326,396338,372020,882187,820568,487274,377306,642028,466621,636271,493323,668284,571157,574123,507780,5254462,383040,360244,844761,790722,487917,393426,710228,565852,715853,583428,715651,618013,646530,573242,3173959,266831,254042,589906,558848,345163,259935,460857,350653,439955,366053,419473,365330,348548,303188,5958267,397289,370372,913131,851653,526224,432074,742852,580272,755005,601071,851418,734362,800271,720882,186009,330890,44196,39751,41343,49367,58493,180850,325425,70027,90983,71291,56974,74921,3170317,31.3,1845408,18.2,1319567,13,1253722,53.3,1889631,24.7
Hawaii,,,Adopted,15,2016,1378730,677111,56112,55231,102334,100434,57735,53087,93649,87607,83388,79172,86333,82778,89201,84647,701619,53047,51710,96068,93289,57332,54209,95283,91580,87265,82684,88309,85519,93940,90202,20264,1673,1662,2666,2341,2152,1955,4375,3963,3267,3250,3040,2934,2202,1796,330392,23978,23177,32051,31221,24060,22145,47901,44648,41306,38820,41629,39888,53458,51054,18503,31715,9369,12548,11453,9238,10440,18293,28402,11591,18063,11139,11301,12765,469490,34.1,237302,17.2,178662,13,126414,65.5,339731,29
Idaho,,,Adopted,16,2016,1662867,826763,70017,67683,154044,146269,79510,65634,107178,84921,99915,85540,97593,82844,99322,89262,836104,66510,64006,145059,137189,76622,66592,107986,88409,102560,86478,98445,85653,105672,93770,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1492229,113697,109878,260090,247034,132250,114587,191163,154876,182424,156726,178441,154904,192414,172440,32723,55129,8192,9563,7042,6423,6350,31059,50028,10807,15736,10255,8175,9908,542600,32.6,284213,17.1,202486,12.2,192732,53.4,346134,26.9
Illinois,,,Adopted,17,2016,12620388,6168002,473643,464214,1016417,989720,596188,528588,863731,735334,805629,701210,830880,757011,791004,742519,6452386,448523,439580,981280,955030,593688,544482,871676,796264,827673,751329,863867,804253,848279,801810,1751769,136855,134324,308356,297740,201570,176367,243579,215199,216298,195107,224208,205609,212794,197772,9012093,595276,582414,1309505,1279295,786399,726961,1195054,1078386,1130708,1031678,1254610,1175012,1278209,1217035,194991,376170,93458,110664,95382,99154,102475,189555,367642,131246,193630,147921,124381,122234,4292429,34,2653712,21,2034281,16.1,1623367,67.7,2639128,26.1
Indiana,,,Adopted,18,2016,6534914,3204187,258452,243634,548353,515433,333148,291127,413968,340807,389487,338007,421970,380280,415298,383526,3330727,246570,233398,520550,489310,321387,291209,425258,369928,408420,365135,433689,399249,441086,412423,598125,52063,50801,124324,121631,67253,58834,82337,70257,74647,61583,73289,65320,65557,59155,5463217,389615,366280,829202,774115,521731,467132,683046,582964,665438,595444,739873,679518,761158,711140,105397,189286,41032,46168,41594,42282,41466,97648,170733,58380,80703,62923,57421,56154,2177206,33.3,1227419,18.8,883765,13.5,817417,61.5,1336628,26.2
Iowa,,,Adopted,19,2016,3091437,1532095,122882,118826,249352,243362,159854,146862,196783,178639,183779,168989,194980,183416,203608,195575,1559342,114584,112438,238179,231929,157244,149473,192963,179627,182944,172439,193135,184261,209915,203574,108207,13065,12574,22393,22160,15604,12858,17505,15207,14421,13003,12220,10706,7290,6935,2796050,200270,195273,422266,412422,274526,259798,341882,315917,326876,307681,358329,341647,394617,381995,50568,84369,20980,28633,24180,22652,24149,47046,80924,31139,42479,29215,25197,27577,1068990,34.6,562680,18.2,415485,13.4,358302,66.2,700955,28.2
Kansas,,,Not Adopted,20,2016,2850862,1408996,121800,116876,244517,233757,151890,127115,178490,144860,173068,147363,170403,152444,179620,165209,1441866,113851,109545,232934,222012,140415,122091,185928,159265,172249,149187,176728,158617,189602,176472,157545,15512,14747,27504,26653,19622,14012,22596,17034,18646,15186,19710,15147,18245,16744,2416319,185645,178691,383135,366104,232822,205717,304248,257563,288694,251207,301670,274670,331364,308718,42388,78003,10005,10248,10164,11438,11127,40295,66093,16749,18248,15103,13187,16296,831350,29.2,406001,14.2,269204,9.4,265613,49.7,559438,24.5
Kentucky,,,Adopted,21,2016,4354380,2121338,164706,159993,352003,340102,211800,190690,266518,230816,264511,242517,286830,266216,279489,267405,2233042,156819,152924,336458,324972,207065,194807,278671,257822,276304,258739,302827,286805,305012,293961,350298,28280,27658,67092,64653,43716,39653,47811,42769,42915,39798,44929,41600,41124,39403,3803005,264596,256890,568545,550183,350655,324309,467956,423310,473452,440386,525738,495050,531377,510903,79269,148802,47434,58913,53813,58807,54824,79888,137419,62625,87211,70749,72384,67719,1873497,43,1143273,26.3,891950,20.5,839725,75.4,1013908,31.9
Louisiana,,,Adopted,22,2016,4577182,2208827,185324,180256,385975,372025,213743,171763,311103,236182,269595,219162,276927,233559,279396,250706,2368355,180584,176229,363574,353321,220534,190843,334398,278771,295354,253113,296580,256870,310069,282933,1462552,128375,125252,282910,276850,162459,132318,207156,161935,180563,148580,172105,143849,170537,152024,2855487,204373,199367,409833,396557,244879,210271,393309,324067,353230,302688,374456,326814,397746,363884,104282,193478,39621,42701,31358,35636,41685,98394,181286,58432,78254,54645,47913,54688,1810554,39.6,1146173,25,871513,19,825139,64.9,968742,29.7
Maine,,,Adopted,23,2016,1317148,642090,39797,38044,90316,86488,56050,49254,76018,60515,73150,60950,92662,81436,100777,92095,675058,39190,37752,85420,80820,52329,47966,78979,68629,76921,68914,98020,89255,108036,99815,19435,2634,2532,5236,5148,3666,2889,2525,2042,2789,1919,1743,1164,580,569,1244291,71098,68300,158128,150263,99640,89858,143664,119702,140821,122456,181777,163036,204044,187819,15110,28939,7886,9449,9688,11376,14930,15664,27711,8814,17275,13185,13735,16665,480025,36.4,223190,16.9,152991,11.6,166467,67.8,308379,29.4
Maryland,,,Adopted,24,2016,5918535,2848901,223268,215578,465258,447570,265146,237271,391989,334283,360377,316063,403071,372161,369348,350879,3069634,210632,204055,445430,432430,265863,244993,415780,376931,391669,361558,441617,419098,416906,398280,1757742,130129,125326,293378,285211,173111,157351,251633,225028,231525,212801,255145,238993,218893,208860,3343098,215132,210011,458298,442765,277354,256790,430081,387161,392136,360760,490261,465847,496463,475928,84331,150142,43411,51663,39669,41077,43741,77323,133702,52020,83567,58042,54548,52534,1888880,31.9,1028277,17.4,796699,13.5,547835,66.8,1328121,26.4
Massachusetts,,,Adopted,25,2016,6736017,3260833,219575,216679,482026,478001,346637,330392,466880,434656,396566,376516,462566,446042,434945,422581,3475184,212603,210561,461040,457294,354529,344428,474102,459059,422191,412215,491236,478327,475050,465625,496138,40860,40380,87127,86861,61349,56790,75979,70671,67189,64890,64550,61086,52932,51183,5292381,298334,294933,683838,677991,520213,506003,691446,660863,609498,589578,777405,756819,786353,770367,87895,158548,69875,96991,76418,85343,79281,80097,152781,82275,129023,101352,104664,96455,2458945,36.5,1383661,20.5,1129905,16.8,752071,77.1,1684310,30.1
Michigan,,,Adopted,26,2016,9818099,4807886,351601,340575,765205,742967,492301,442318,612276,528803,559196,502447,654701,606692,670749,637643,5010213,335417,327132,735331,713644,473889,440675,616701,567905,584081,545333,680131,643466,715597,684689,1326535,111956,110137,233673,227381,150736,133365,183268,157601,160246,144900,169852,158668,159413,150295,7727734,489183,473678,1094040,1063514,714657,660773,933542,841235,884437,814015,1082646,1017808,1166518,1115920,156192,281423,94537,114721,95735,105366,103937,151984,272974,121743,181510,127095,123726,119457,3795318,38.7,2041298,20.8,1650936,16.8,1481948,70.5,2277861,30
Minnesota,,,Adopted,27,2016,5462438,2714782,216528,210010,442664,426801,254339,235114,372381,341024,340783,316057,360231,343004,364189,349985,2747656,203481,196825,423650,409402,248405,237696,364504,343637,333411,314821,363464,351701,373957,362385,323107,38779,37281,75107,71964,36157,33528,53189,47783,45679,40260,33378,30851,25059,22603,4552519,308703,300088,647070,629721,395073,377224,584992,549788,547830,521805,633668,612106,676050,656258,74562,131177,39793,58162,45788,43773,42200,66064,123968,51503,80693,60703,48597,49463,1791025,32.8,944468,17.3,740449,13.6,568999,68.4,1207617,26.5
Mississippi,,,Not Adopted,28,2016,2924168,1390748,112465,107465,251750,240029,149652,116139,169275,123580,167796,132872,175857,146441,173600,153759,1533420,111106,106189,245787,234835,149822,119701,194419,156969,194135,165481,193009,163091,198995,176348,1106549,98134,94738,212692,204794,133023,97508,145020,109342,143893,117715,130385,107147,127786,111100,1716181,114165,108343,258020,245834,155854,131917,202555,159898,206662,172150,226553,193442,237172,212909,63809,127960,18524,19984,17159,20665,25801,65041,123005,29918,37070,29676,26033,32700,1153323,39.4,697711,23.9,519759,17.8,521250,60.8,624473,30.8
