state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Louisiana,,,Adopted,22,2014,4547572,2192530,190443,182425,375772,354801,227267,159544,301704,208900,270836,207470,282551,223588,276929,241715,2355042,181213,172645,365190,345216,232362,180066,330487,251888,289978,228499,308975,250433,303563,262689,1456048,138290,131082,280124,265237,171047,111776,204125,135428,173536,128114,177683,134065,167937,140768,2868466,209026,200514,413795,391904,260066,208059,393811,302089,353818,283897,393670,325587,393156,348365,98899,175704,26362,20873,22744,28185,33886,96104,172941,44281,51975,37924,39797,42815,,,,,,,,,,
Maine,,,Adopted,23,2014,1315996,638706,38690,36270,91231,85767,56148,46704,72821,56608,75878,61504,98241,84695,98750,89056,677290,36924,35307,90545,83754,55763,47535,77301,63925,78766,70288,102293,89548,106868,96275,16327,2376,2237,4142,4142,2428,1807,3116,2346,2174,1991,926,777,770,613,1246912,68775,65549,164390,153347,103512,87850,140147,112581,145468,124698,192284,166912,200652,181064,17001,34964,8432,12224,12336,12379,12104,17799,31257,12377,22692,15600,13804,13692,,,,,,,,,,
Maryland,,,Adopted,24,2014,5885847,2831976,223578,217255,465722,450368,270126,228997,394586,323530,361331,308352,414435,371187,356085,330491,3053871,216877,211581,443590,427968,273713,244868,414386,362553,396483,356861,454366,421937,401923,377723,1739013,141378,136989,289457,282036,180786,157008,244476,209948,230835,205282,262581,238489,209240,193515,3383654,214881,209737,473888,458745,290626,260476,441193,384622,402590,362225,515658,479714,485611,461609,86211,145552,36425,41867,37602,39911,36869,82537,141239,57777,78869,54134,54126,41325,,,,,,,,,,
Massachusetts,,,Adopted,25,2014,6668348,3224439,223016,218908,484518,477322,345265,321196,450115,411780,403358,378024,475666,453743,419766,407827,3443909,215203,212203,464661,457654,349720,336869,468014,448478,428792,416098,503208,488584,460017,448105,468683,41239,40306,78473,76299,60455,55758,71256,64304,63439,56912,63075,58799,49482,46793,5287568,302154,298025,701089,692785,512546,492203,684363,646245,633198,608863,811576,786292,763254,744461,83700,151154,64194,93049,76674,87643,79798,78642,148825,75723,126246,100202,101707,94130,,,,,,,,,,
Michigan,,,Adopted,26,2014,9798621,4788521,356326,342741,778528,748001,501288,417253,584048,456379,575357,488477,679068,599363,654404,608074,5010100,333208,323557,751878,722387,492654,433583,592735,512410,599220,532221,708484,640424,700008,650749,1336691,115772,112328,237492,228693,168593,133787,170963,130885,168121,138193,170182,147227,157646,145252,7750395,491557,474978,1123885,1081344,734322,643866,907700,757578,908431,799730,1139535,1028164,1146027,1069029,165374,286480,71830,77832,76732,85268,84595,151593,273802,108008,141042,111858,103695,97982,,,,,,,,,,
Minnesota,,,Adopted,27,2014,5398211,2677723,214349,206806,440779,423792,251390,221894,374687,323021,333775,302407,375669,350629,351667,333397,2720488,202991,195637,422672,405539,246086,228318,367744,335226,332702,309427,378483,359090,357809,341226,305711,35041,33243,71473,68682,35110,28861,52173,43993,41139,36797,34640,31136,23036,20340,4561316,312340,303347,662667,640255,400787,370210,595828,536539,553230,514348,670697,637721,654141,625838,68358,122456,33890,52720,40113,41498,36079,63171,113515,45021,75812,49631,46390,40984,,,,,,,,,,
Mississippi,,,Not Adopted,28,2014,2927088,1405888,121166,117592,254768,240079,147954,102674,173355,113918,178420,138729,176892,141108,174543,152060,1521200,112420,108559,241448,224740,150683,118194,193880,146588,196173,156749,196428,159689,193816,169060,1102344,101860,99664,215270,202827,130351,89976,150120,101447,147001,114201,129706,102475,124992,106773,1730616,118351,114435,259746,243049,156412,123082,204250,151976,215578,173807,234958,191858,235654,208467,68875,119694,19772,14541,16956,18519,26686,62341,116658,31567,36783,29050,28053,34208,,,,,,,,,,
Missouri,,,Adopted,29,2014,5950606,2896457,228907,213292,479142,444011,287727,229478,376493,281553,355431,287271,397365,339609,375796,343742,3054149,215241,199686,464271,430600,290278,237822,396214,317474,365589,307169,416172,364125,408374,370451,686950,64842,60930,127088,117574,84481,58446,93948,61360,85798,65551,87253,71055,74886,64817,4908578,336575,313220,731722,681016,450008,375954,624776,498198,590492,496859,690074,604654,680360,624612,87003,138123,19922,21923,23099,32136,33311,79297,137322,36598,47606,35811,37885,38156,,,,,,,,,,
Montana,,,Adopted,30,2014,1008116,502747,38162,35746,76577,69237,49991,37183,63763,45076,56576,43749,64168,52803,74167,64821,505369,35916,33577,73396,67070,50219,39469,61711,47649,55909,44888,66313,54138,75734,64607,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,902040,60948,58340,125662,116930,86197,69054,109699,84243,102206,83157,118683,99481,140015,123127,15819,26635,3250,4503,3632,4508,4834,14983,26034,4941,6789,4481,6192,6884,,,,,,,,,,
Nebraska,,,Adopted,31,2014,1853684,919630,80311,77317,159996,150231,94612,79958,123901,99985,113678,95074,116775,103062,114944,105007,934054,76090,72594,150193,141653,90843,77007,125109,105408,111137,93292,118104,106356,118700,108773,85878,10707,10372,17935,17146,10203,7837,13910,10869,10349,7368,9039,7145,8099,6976,1638007,128151,122901,258016,243302,159212,136940,216017,180257,198513,169421,213237,192433,216834,199792,26297,43694,6942,6050,5081,5526,7006,26537,41786,9843,13594,8855,7712,9142,,,,,,,,,,
