,state,year,expansion,gender,age,percentage
117,District of Columbia,2014,Adopted,male,35-44,0.163810845
118,District of Columbia,2014,Adopted,male,45-54,0.252731985
119,District of Columbia,2014,Adopted,male,55-64,0.282831488
120,District of Columbia,2014,Adopted,female,< 6,0.516315358
121,District of Columbia,2014,Adopted,female,6-17,0.534676817
122,District of Columbia,2014,Adopted,female,18-24,0.243169336
123,District of Columbia,2014,Adopted,female,25-34,0.212007247
124,District of Columbia,2014,Adopted,female,35-44,0.219284537
125,District of Columbia,2014,Adopted,female,45-54,0.2883738
126,District of Columbia,2014,Adopted,female,55-64,0.31599398
127,Florida,2014,Not Adopted,male,< 6,0.501627655
128,Florida,2014,Not Adopted,male,6-17,0.398179293
129,Florida,2014,Not Adopted,male,18-24,0.113328992
130,Florida,2014,Not Adopted,male,25-34,0.08659515
131,Florida,2014,Not Adopted,male,35-44,0.082873511
132,Florida,2014,Not Adopted,male,45-54,0.089154565
133,Florida,2014,Not Adopted,male,55-64,0.101643104
134,Florida,2014,Not Adopted,female,< 6,0.484253545
135,Florida,2014,Not Adopted,female,6-17,0.398116004
136,Florida,2014,Not Adopted,female,18-24,0.164332817
137,Florida,2014,Not Adopted,female,25-34,0.159291283
138,Florida,2014,Not Adopted,female,35-44,0.132431844
139,Florida,2014,Not Adopted,female,45-54,0.097470828
140,Florida,2014,Not Adopted,female,55-64,0.102593423
141,Georgia,2014,Not Adopted,male,< 6,0.487297547
142,Georgia,2014,Not Adopted,male,6-17,0.376871351
143,Georgia,2014,Not Adopted,male,18-24,0.087772527
144,Georgia,2014,Not Adopted,male,25-34,0.063227173
145,Georgia,2014,Not Adopted,male,35-44,0.06204461
146,Georgia,2014,Not Adopted,male,45-54,0.068618226
147,Georgia,2014,Not Adopted,male,55-64,0.090729132
148,Georgia,2014,Not Adopted,female,< 6,0.473121228
149,Georgia,2014,Not Adopted,female,6-17,0.382648746
150,Georgia,2014,Not Adopted,female,18-24,0.133825971
151,Georgia,2014,Not Adopted,female,25-34,0.126636432
152,Georgia,2014,Not Adopted,female,35-44,0.090228252
153,Georgia,2014,Not Adopted,female,45-54,0.077840878
154,Georgia,2014,Not Adopted,female,55-64,0.107733067
155,Hawaii,2014,Adopted,male,< 6,0.350406578
156,Hawaii,2014,Adopted,male,6-17,0.322533108
157,Hawaii,2014,Adopted,male,18-24,0.166902796
158,Hawaii,2014,Adopted,male,25-34,0.126750943
159,Hawaii,2014,Adopted,male,35-44,0.127920513
160,Hawaii,2014,Adopted,male,45-54,0.086183765
161,Hawaii,2014,Adopted,male,55-64,0.111696053
162,Hawaii,2014,Adopted,female,< 6,0.346829203
163,Hawaii,2014,Adopted,female,6-17,0.319997955
164,Hawaii,2014,Adopted,female,18-24,0.170874284
165,Hawaii,2014,Adopted,female,25-34,0.19315338
166,Hawaii,2014,Adopted,female,35-44,0.161012676
167,Hawaii,2014,Adopted,female,45-54,0.113601419
168,Hawaii,2014,Adopted,female,55-64,0.106732993
169,Idaho,2014,Adopted,male,< 6,0.45108279
170,Idaho,2014,Adopted,male,6-17,0.33046338
171,Idaho,2014,Adopted,male,18-24,0.068451598
172,Idaho,2014,Adopted,male,25-34,0.075668009
173,Idaho,2014,Adopted,male,35-44,0.059476614
174,Idaho,2014,Adopted,male,45-54,0.068948881
175,Idaho,2014,Adopted,male,55-64,0.069906569
176,Idaho,2014,Adopted,female,< 6,0.403516378
177,Idaho,2014,Adopted,female,6-17,0.328399234
178,Idaho,2014,Adopted,female,18-24,0.126837943
179,Idaho,2014,Adopted,female,25-34,0.128778817
180,Idaho,2014,Adopted,female,35-44,0.085351603
181,Idaho,2014,Adopted,female,45-54,0.069917971
182,Idaho,2014,Adopted,female,55-64,0.089008316
183,Illinois,2014,Adopted,male,< 6,0.440974036
184,Illinois,2014,Adopted,male,6-17,0.371513711
185,Illinois,2014,Adopted,male,18-24,0.117974598
186,Illinois,2014,Adopted,male,25-34,0.097113657
187,Illinois,2014,Adopted,male,35-44,0.099067314
188,Illinois,2014,Adopted,male,45-54,0.100911307
189,Illinois,2014,Adopted,male,55-64,0.098015263
190,Illinois,2014,Adopted,female,< 6,0.449524289
191,Illinois,2014,Adopted,female,6-17,0.383574553
192,Illinois,2014,Adopted,female,18-24,0.212544217
193,Illinois,2014,Adopted,female,25-34,0.209489606
194,Illinois,2014,Adopted,female,35-44,0.169682094
195,Illinois,2014,Adopted,female,45-54,0.120255969
196,Illinois,2014,Adopted,female,55-64,0.112664238
197,Indiana,2014,Adopted,male,< 6,0.410657457
198,Indiana,2014,Adopted,male,6-17,0.321616923
199,Indiana,2014,Adopted,male,18-24,0.08012329
200,Indiana,2014,Adopted,male,25-34,0.065030532
201,Indiana,2014,Adopted,male,35-44,0.075649399
202,Indiana,2014,Adopted,male,45-54,0.087975335
203,Indiana,2014,Adopted,male,55-64,0.080898363
204,Indiana,2014,Adopted,female,< 6,0.421304147
205,Indiana,2014,Adopted,female,6-17,0.314029465
206,Indiana,2014,Adopted,female,18-24,0.142324531
207,Indiana,2014,Adopted,female,25-34,0.155846189
208,Indiana,2014,Adopted,female,35-44,0.118332512
209,Indiana,2014,Adopted,female,45-54,0.098405868
210,Indiana,2014,Adopted,female,55-64,0.094588804
211,Iowa,2014,Adopted,male,< 6,0.416223735
212,Iowa,2014,Adopted,male,6-17,0.324673053
213,Iowa,2014,Adopted,male,18-24,0.102425742
214,Iowa,2014,Adopted,male,25-34,0.112578942
215,Iowa,2014,Adopted,male,35-44,0.095351701
216,Iowa,2014,Adopted,male,45-54,0.088316626
217,Iowa,2014,Adopted,male,55-64,0.093207061
218,Iowa,2014,Adopted,female,< 6,0.386910628
219,Iowa,2014,Adopted,female,6-17,0.337506448
220,Iowa,2014,Adopted,female,18-24,0.170123306
221,Iowa,2014,Adopted,female,25-34,0.186925802
222,Iowa,2014,Adopted,female,35-44,0.135619294
223,Iowa,2014,Adopted,female,45-54,0.110757016
224,Iowa,2014,Adopted,female,55-64,0.108941555
225,Kansas,2014,Not Adopted,male,< 6,0.39556358
226,Kansas,2014,Not Adopted,male,6-17,0.292559047
227,Kansas,2014,Not Adopted,male,18-24,0.068728173
228,Kansas,2014,Not Adopted,male,25-34,0.057091115
229,Kansas,2014,Not Adopted,male,35-44,0.058424533
230,Kansas,2014,Not Adopted,male,45-54,0.06334438
231,Kansas,2014,Not Adopted,male,55-64,0.06794501
232,Kansas,2014,Not Adopted,female,< 6,0.397306793
233,Kansas,2014,Not Adopted,female,6-17,0.291039211
234,Kansas,2014,Not Adopted,female,18-24,0.097888729
235,Kansas,2014,Not Adopted,female,25-34,0.101040941
236,Kansas,2014,Not Adopted,female,35-44,0.077681485
237,Kansas,2014,Not Adopted,female,45-54,0.068715194
238,Kansas,2014,Not Adopted,female,55-64,0.070342705
239,Kentucky,2014,Adopted,male,< 6,0.490993085
240,Kentucky,2014,Adopted,male,6-17,0.39951467
241,Kentucky,2014,Adopted,male,18-24,0.158479431
242,Kentucky,2014,Adopted,male,25-34,0.168317316
243,Kentucky,2014,Adopted,male,35-44,0.159171445
244,Kentucky,2014,Adopted,male,45-54,0.177985095
245,Kentucky,2014,Adopted,male,55-64,0.164565849
246,Kentucky,2014,Adopted,female,< 6,0.492167191
247,Kentucky,2014,Adopted,female,6-17,0.405926485
248,Kentucky,2014,Adopted,female,18-24,0.228613696
249,Kentucky,2014,Adopted,female,25-34,0.234067086
250,Kentucky,2014,Adopted,female,35-44,0.193127979
251,Kentucky,2014,Adopted,female,45-54,0.19328895
252,Kentucky,2014,Adopted,female,55-64,0.188597865
253,Louisiana,2014,Adopted,male,< 6,0.51931024
254,Louisiana,2014,Adopted,male,6-17,0.467581406
255,Louisiana,2014,Adopted,male,18-24,0.115995723
256,Louisiana,2014,Adopted,male,25-34,0.069183703
257,Louisiana,2014,Adopted,male,35-44,0.083977019
258,Louisiana,2014,Adopted,male,45-54,0.099751903
